JAHR;MONAT;ZAEHLSTELLE;FAHRZEUGKLASSE;ANZAHL
2023;12;526;Kfz;30747.0
2023;12;526;Kfz > 3,5t hzG;1237.0
2023;12;526;Kfz <= 3,5t hzG;29510.0
2023;12;86;Kfz;80833.0
2023;12;86;Kfz > 3,5t hzG;4451.0
2023;12;86;Kfz <= 3,5t hzG;76382.0
2023;12;47;Kfz;72724.0
2023;12;47;Kfz <= 3,5t hzG;68842.0
2023;12;136;Kfz;91307.0
2023;12;136;Kfz > 3,5t hzG;7678.0
2023;12;136;Kfz <= 3,5t hzG;83629.0
2023;12;980;Kfz;64665.0
2023;12;980;Kfz > 3,5t hzG;6890.0
2023;12;980;Kfz <= 3,5t hzG;57775.0
2023;12;17;Kfz;62348.0
2023;12;17;Kfz > 3,5t hzG;6855.0
2023;12;17;Kfz <= 3,5t hzG;55493.0
2023;12;23;Kfz > 3,5t hzG;6929.0
2023;12;29;Kfz;62472.0
2023;12;29;Kfz > 3,5t hzG;6957.0
2023;12;29;Kfz <= 3,5t hzG;55515.0
2023;12;61;Kfz;46711.0
2023;12;61;Kfz > 3,5t hzG;4820.0
2023;12;61;Kfz <= 3,5t hzG;41891.0
2023;12;67;Kfz;37372.0
2023;12;67;Kfz > 3,5t hzG;4405.0
2023;12;67;Kfz <= 3,5t hzG;32967.0
2023;12;479;Kfz;32478.0
2023;12;479;Kfz > 3,5t hzG;4188.0
2023;12;479;Kfz <= 3,5t hzG;28290.0
2023;12;75;Kfz;30183.0
2023;12;75;Kfz > 3,5t hzG;4159.0
2023;12;75;Kfz <= 3,5t hzG;26024.0
2023;12;35;Kfz;35104.902
2023;12;35;Kfz > 3,5t hzG;3469.0
2023;12;35;Kfz <= 3,5t hzG;31635.902
2023;12;390;Kfz;28157.936
2023;12;390;Kfz > 3,5t hzG;3216.0
2023;12;390;Kfz <= 3,5t hzG;24941.936
2023;12;437;Kfz;20177.0
2023;12;437;Kfz > 3,5t hzG;2997.0
2023;12;437;Kfz <= 3,5t hzG;17180.0
2023;12;443;Kfz;12041.0
2023;12;443;Kfz > 3,5t hzG;2767.0
2023;12;443;Kfz <= 3,5t hzG;9274.0
2023;12;4;Kfz;9891.0
2023;12;4;Kfz > 3,5t hzG;2744.0
2023;12;4;Kfz <= 3,5t hzG;7147.0
2023;12;756;Kfz;24198.0
2023;12;756;Kfz > 3,5t hzG;2466.0
2023;12;756;Kfz <= 3,5t hzG;21732.0
2023;12;762;Kfz;20991.0
2023;12;762;Kfz > 3,5t hzG;2258.0
2023;12;762;Kfz <= 3,5t hzG;18733.0
2023;12;649;Kfz;72510.0
2023;12;649;Kfz > 3,5t hzG;3887.0
2023;12;649;Kfz <= 3,5t hzG;68623.0
2023;12;282;Kfz;84665.0
2023;12;282;Kfz > 3,5t hzG;3772.0
2023;12;282;Kfz <= 3,5t hzG;80893.0
2023;12;300;Kfz;79564.0
2023;12;300;Kfz > 3,5t hzG;3793.0
2023;12;300;Kfz <= 3,5t hzG;75771.0
2023;12;334;Kfz;69600.0
2023;12;334;Kfz > 3,5t hzG;3823.0
2023;12;334;Kfz <= 3,5t hzG;65777.0
2023;12;657;Kfz;57485.0
2023;12;657;Kfz > 3,5t hzG;2457.0
2023;12;657;Kfz <= 3,5t hzG;55028.0
2023;12;675;Kfz > 3,5t hzG;2019.0
2023;12;153;Kfz;34704.0
2023;12;153;Kfz > 3,5t hzG;1898.0
2023;12;153;Kfz <= 3,5t hzG;32806.0
2023;12;606;Kfz;20519.0
2023;12;606;Kfz > 3,5t hzG;3243.0
2023;12;606;Kfz <= 3,5t hzG;17276.0
2023;12;491;Kfz;34512.0
2023;12;491;Kfz > 3,5t hzG;4413.0
2023;12;491;Kfz <= 3,5t hzG;30099.0
2023;12;162;Kfz;52162.0
2023;12;162;Kfz > 3,5t hzG;8918.0
2023;12;162;Kfz <= 3,5t hzG;43244.0
2023;12;169;Kfz;42951.0
2023;12;169;Kfz > 3,5t hzG;8376.0
2023;12;169;Kfz <= 3,5t hzG;34575.0
2023;12;611;Kfz;37715.0
2023;12;611;Kfz > 3,5t hzG;8361.0
